"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 24 20:15:41 SAST 2025","Sat May 24 20:15:43 SAST 2025","2832","chromium","loginTest.spec.ts","Login Tests","","","should show error message for invalid credentials",""
"passed","Sat May 24 20:15:33 SAST 2025","Sat May 24 20:15:40 SAST 2025","6465","chromium","checkOutFlowStepsTest.spec.ts","Login Tests","","","should Check your info form visible",""
"passed","Sat May 24 20:15:43 SAST 2025","Sat May 24 20:15:47 SAST 2025","3950","chromium","productListPageTest.spec.ts","Login Tests","","","should Check Hamburger Menu Items",""
"passed","Sat May 24 20:15:33 SAST 2025","Sat May 24 20:15:40 SAST 2025","6446","chromium","cartOperationsTest.spec.ts","Login Tests","","","should Check Remove a product from cart",""
"passed","Sat May 24 20:15:44 SAST 2025","Sat May 24 20:15:46 SAST 2025","2804","chromium","productListPageTest.spec.ts","Login Tests","","","should validate the product list",""
"passed","Sat May 24 20:15:40 SAST 2025","Sat May 24 20:15:44 SAST 2025","3196","chromium","checkOutFlowStepsTest.spec.ts","Login Tests","","","should Check that the Order completion",""
"passed","Sat May 24 20:15:41 SAST 2025","Sat May 24 20:15:43 SAST 2025","2863","chromium","loginTest.spec.ts","Login Tests","","","should display login form",""
"passed","Sat May 24 20:15:33 SAST 2025","Sat May 24 20:15:40 SAST 2025","6633","chromium","checkOutFlowStepsTest.spec.ts","Login Tests","","","Should check the Check out flow Process",""
"passed","Sat May 24 20:15:41 SAST 2025","Sat May 24 20:15:44 SAST 2025","2834","chromium","loginTest.spec.ts","Login Tests","","","should redirect to inventory after successful login",""
"passed","Sat May 24 20:15:33 SAST 2025","Sat May 24 20:15:40 SAST 2025","6377","chromium","cartOperationsTest.spec.ts","Login Tests","","","should Check Add a product to cart and verift its listed",""
"passed","Sat May 24 20:15:43 SAST 2025","Sat May 24 20:15:46 SAST 2025","2884","chromium","productListPageTest.spec.ts","Login Tests","","","should show product list",""
